accuracy,accuracy_difference_vs_n16_pp,adaptive_only_correct,both_correct,both_wrong,calibration,compute_reduction_vs_n16_pct,hyperparameters,lambda_compute,lambda_error,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,pareto_efficient_samples,pareto_efficient_tokens,policy_id,policy_type,premature_stop_errors,regressions_avoided,schedule,scope,selected_on,selected_parameter,selected_tau,start_prefix,threshold_selection_rule,total_samples,total_tokens,variant
0.69,-8.0,1,68,22,,93.64736522417415,,,,1.0,588.82,1.0,9,none,9,100,1,,,fixed_n1,fixed,31,1,,outer_fold,predefined,,,,,100,58882,
0.71,-6.0,1,70,22,,87.33659081812209,,,,2.0,1173.76,2.0,7,none,7,100,1,,,fixed_n2,fixed,29,1,,outer_fold,predefined,,,,,200,117376,
0.74,-3.0,2,72,21,,74.81602475371969,,,,4.0,2334.28,4.0,5,none,5,100,1,,,fixed_n4,fixed,26,2,,outer_fold,predefined,,,,,400,233428,
0.79,2.0,4,75,19,,49.72904041575546,,,,8.0,4659.57,8.0,2,none,2,100,1,,,fixed_n8,fixed,21,4,,outer_fold,predefined,,,,,800,465957,
0.77,0.0,0,77,23,,0.0,,,,16.0,9268.91,16.0,0,none,0,100,1,,,fixed_n16,fixed,0,0,,outer_fold,predefined,,,,,1600,926891,
0.79,2.0,2,77,21,,69.77886288679036,,,,4.02,2801.17,2.0,0,none,0,100,1,,,simple_consensus,simple_threshold,15,2,,outer_fold,outer_training_only,consensus_min2_0.70,,,,402,280117,
0.78,1.0,1,77,22,,53.634030322875084,,,,6.62,4297.62,4.0,0,none,0,100,1,,,simple_entropy,simple_threshold,12,1,,outer_fold,outer_training_only,entropy_min4_0.50,,,,662,429762,
0.79,2.0,2,77,21,,70.55220085209588,,,,3.95,2729.49,2.0,0,none,0,100,1,,,simple_margin,simple_threshold,15,2,,outer_fold,outer_training_only,margin_min2_0.50,,,,395,272949,
0.74,-3.0,2,72,21,,83.03112232182642,,,,2.41,1572.83,2.0,5,none,5,100,1,,,simple_stability,simple_threshold,25,2,,outer_fold,outer_training_only,stability_k2,,,,241,157283,
0.77,0.0,0,77,23,uncalibrated,52.6808438101136,C=0.1;class_weight=balanced;penalty=l1,1,10,6.29,4385.97,4.0,0,logistic,0,100,1,,,logistic_start2_every_sample_selected,learned,11,0,every_sample,outer_fold,,,0.3,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,629,438597,selected
0.78,1.0,2,76,21,uncalibrated,73.7064012920613,C=0.1;class_weight=balanced;penalty=l1,1,1,3.54,2437.13,2.0,1,logistic,1,100,1,,,logistic_start2_every_sample_lambda1,learned,20,2,every_sample,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,354,243713,lambda1
0.78,1.0,2,76,21,uncalibrated,73.7064012920613,C=0.1;class_weight=balanced;penalty=l1,1,2,3.54,2437.13,2.0,1,logistic,1,100,1,,,logistic_start2_every_sample_lambda2,learned,20,2,every_sample,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,354,243713,lambda2
0.78,1.0,2,76,21,uncalibrated,73.7064012920613,C=0.1;class_weight=balanced;penalty=l1,1,5,3.54,2437.13,2.0,1,logistic,1,100,1,,,logistic_start2_every_sample_lambda5,learned,20,2,every_sample,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,354,243713,lambda5
0.77,0.0,0,77,23,uncalibrated,52.6808438101136,C=0.1;class_weight=balanced;penalty=l1,1,10,6.29,4385.97,4.0,0,logistic,0,100,1,,,logistic_start2_every_sample_lambda10,learned,11,0,every_sample,outer_fold,,,0.3,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,629,438597,lambda10
0.77,0.0,0,77,23,uncalibrated,45.39692369437183,C=0.1;class_weight=balanced;penalty=l1,1,10,7.4,5061.11,4.0,0,logistic,0,100,1,,,logistic_start2_checkpoint_selected,learned,9,0,checkpoint,outer_fold,,,0.3,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,740,506111,selected
0.78,1.0,2,76,21,uncalibrated,68.84164373157145,C=0.1;class_weight=balanced;penalty=l1,1,1,4.06,2888.04,2.0,1,logistic,1,100,1,,,logistic_start2_checkpoint_lambda1,learned,15,2,checkpoint,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,406,288804,lambda1
0.78,1.0,2,76,21,uncalibrated,68.84164373157145,C=0.1;class_weight=balanced;penalty=l1,1,2,4.06,2888.04,2.0,1,logistic,1,100,1,,,logistic_start2_checkpoint_lambda2,learned,15,2,checkpoint,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,406,288804,lambda2
0.78,1.0,2,76,21,uncalibrated,68.84164373157145,C=0.1;class_weight=balanced;penalty=l1,1,5,4.06,2888.04,2.0,1,logistic,1,100,1,,,logistic_start2_checkpoint_lambda5,learned,15,2,checkpoint,outer_fold,,,0.7,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,406,288804,lambda5
0.77,0.0,0,77,23,uncalibrated,45.39692369437183,C=0.1;class_weight=balanced;penalty=l1,1,10,7.4,5061.11,4.0,0,logistic,0,100,1,,,logistic_start2_checkpoint_lambda10,learned,9,0,checkpoint,outer_fold,,,0.3,2,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,740,506111,lambda10
0.77,0.0,1,76,22,uncalibrated,60.42997504560946,C=0.1;class_weight=balanced;penalty=l1,1,10,5.67,3667.71,4.0,1,logistic,1,100,1,,,logistic_start4_every_sample_selected,learned,18,1,every_sample,outer_fold,,,0.5,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,567,366771,selected
0.78,1.0,2,76,21,uncalibrated,64.23603206849565,C=0.1;class_weight=balanced;penalty=l1,1,1,5.16,3314.93,4.0,1,logistic,1,100,1,,,logistic_start4_every_sample_lambda1,learned,20,2,every_sample,outer_fold,,,0.7,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,516,331493,lambda1
0.78,1.0,2,76,21,uncalibrated,64.23603206849565,C=0.1;class_weight=balanced;penalty=l1,1,2,5.16,3314.93,4.0,1,logistic,1,100,1,,,logistic_start4_every_sample_lambda2,learned,20,2,every_sample,outer_fold,,,0.7,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,516,331493,lambda2
0.77,0.0,1,76,22,uncalibrated,60.42997504560946,C=0.1;class_weight=balanced;penalty=l1,1,5,5.67,3667.71,4.0,1,logistic,1,100,1,,,logistic_start4_every_sample_lambda5,learned,18,1,every_sample,outer_fold,,,0.5,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,567,366771,lambda5
0.77,0.0,1,76,22,uncalibrated,60.42997504560946,C=0.1;class_weight=balanced;penalty=l1,1,10,5.67,3667.71,4.0,1,logistic,1,100,1,,,logistic_start4_every_sample_lambda10,learned,18,1,every_sample,outer_fold,,,0.5,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,567,366771,lambda10
0.77,0.0,0,77,23,uncalibrated,50.43818528823778,C=0.1;class_weight=balanced;penalty=l1,1,10,6.88,4593.84,4.0,0,logistic,0,100,1,,,logistic_start4_checkpoint_selected,learned,12,0,checkpoint,outer_fold,,,0.4,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,688,459384,selected
0.78,1.0,2,76,21,uncalibrated,58.72459652753128,C=0.1;class_weight=balanced;penalty=l1,1,1,5.76,3825.78,4.0,1,logistic,1,100,1,,,logistic_start4_checkpoint_lambda1,learned,14,2,checkpoint,outer_fold,,,0.7,4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,576,382578,lambda1
