average_precision,bin,bin_count,bin_high,bin_low,brier,calibration,ece_10bin,fn_at_0.5,fp_at_0.5,hyperparameters,inner_average_precision,mean_predicted,model,observed_frequency,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,row_type,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
0.24712443587048064,,,,,0.15203721716698532,uncalibrated,0.25229181003391316,1,294,C=0.1;class_weight=balanced;penalty=l1,0.19069565310222764,,logistic,,1,0.77,0.0,0,77,23,58.22831379309973,5.8,3871.78,4.0,0,0,100,14,0,580,387178,0.027333333333333334,0.11976047904191617,0.975609756097561,0.9400692087798191,fold_metric,10,0.3,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1165,40
0.2643754928300787,,,,,0.022026449950537853,sigmoid,0.00510828286590392,41,0,C=0.1;class_weight=balanced;penalty=l1,0.18670716407947593,,logistic,,1,0.78,1.0,3,75,20,80.7244864822293,2.71,1786.63,2.0,2,2,100,21,3,271,178663,0.027333333333333334,0.0,0.0,0.9421922800448018,fold_metric,5,0.15,fallback_max_inner_accuracy_then_min_mean_samples,1459,0
0.24209888603333912,,,,,0.022925835797639606,isotonic,0.015265305582517786,41,0,C=0.1;class_weight=None;penalty=l1,0.17767444935748267,,logistic,,1,0.79,2.0,2,77,21,67.18675658734415,4.4,3041.43,2.0,0,0,100,14,2,440,304143,0.027333333333333334,0.0,0.0,0.9402447382938531,fold_metric,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1459,0
0.2590143160939102,,,,,0.1250833754468108,uncalibrated,0.19149578051568963,1,282,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.15091855841370344,,histgb,,1,0.77,0.0,0,77,23,53.405308714832714,6.55,4318.82,4.0,0,0,100,13,0,655,431882,0.027333333333333334,0.12422360248447205,0.975609756097561,0.9479763954596365,fold_metric,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1177,40
0.26615094491718944,,,,,0.02235935339524677,sigmoid,0.00839616122072676,41,0,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.1440755326464746,,histgb,,1,0.8,3.0,3,77,20,73.20504784273447,3.57,2483.6,2.0,0,0,100,19,3,357,248360,0.027333333333333334,0.0,0.0,0.9452180745248167,fold_metric,10,0.05,fallback_max_inner_accuracy_then_min_mean_samples,1459,0
0.2517168628765413,,,,,0.02366661336980279,isotonic,0.017470462489589104,41,0,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.14774051879049774,,histgb,,1,0.78,1.0,1,77,22,69.60840055626821,4.03,2816.97,2.0,0,0,100,19,1,403,281697,0.027333333333333334,0.0,0.0,0.9470068038583059,fold_metric,10,0.03,fallback_max_inner_accuracy_then_min_mean_samples,1459,0
0.27994041566463607,,,,,0.019254134264507707,uncalibrated,0.011448832547512958,35,0,C=0.1;class_weight=None;penalty=l1,0.19971846477541508,,logistic,,2,0.86,0.0,0,86,14,61.09387135189244,5.48,3381.39,3.0,0,0,100,7,0,548,338139,0.023333333333333334,0.0,0.0,0.9355143832276938,fold_metric,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.3168737699166814,,,,,0.01884879175745175,sigmoid,0.005627321839501334,35,0,C=0.1;class_weight=None;penalty=l1,0.20965112608557918,,logistic,,2,0.85,-1.0,0,85,14,74.45217261237005,3.64,2220.4,2.0,1,1,100,12,0,364,222040,0.023333333333333334,0.0,0.0,0.9432471964895173,fold_metric,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.24031250333479562,,,,,0.019635959327964178,isotonic,0.011370398127707737,35,0,C=0.1;class_weight=None;penalty=l1,0.194111786642681,,logistic,,2,0.86,0.0,0,86,14,62.3016516801574,5.32,3276.42,3.0,0,0,100,9,0,532,327642,0.023333333333333334,0.0,0.0,0.9376986835689909,fold_metric,10,0.01,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.2666089145976177,,,,,0.019005668066704298,uncalibrated,0.008391877214687706,35,0,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.15899349277725477,,histgb,,2,0.86,0.0,1,85,13,79.47843495970038,3.01,1783.56,2.0,1,1,100,13,1,301,178356,0.023333333333333334,0.0,0.0,0.9527840078010725,fold_metric,5,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.25418084522590007,,,,,0.019953589401686397,sigmoid,0.011790199676790191,35,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=15,0.1565399494615325,,histgb,,2,0.87,1.0,1,86,13,60.47116894772269,5.67,3435.51,4.0,0,0,100,10,1,567,343551,0.023333333333333334,0.0,0.0,0.9396782057532911,fold_metric,10,0.02,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.19702910026489373,,,,,0.02006965346889791,isotonic,0.012851051046728587,34,1,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=15,0.14912081572622896,,histgb,,2,0.86,0.0,0,86,14,53.02129177381589,6.88,4082.99,5.0,0,0,100,8,0,688,408299,0.023333333333333334,0.5,0.02857142857142857,0.9373086299366162,fold_metric,10,0.01,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1464,1
0.24901645007601186,,,,,0.04577335893786102,uncalibrated,0.024639410326485086,81,0,C=0.1;class_weight=None;penalty=l1,0.20626936139085847,,logistic,,3,0.74,-3.0,3,71,20,78.37803088167834,3.03,1984.38,2.0,6,6,100,25,3,303,198438,0.054,0.0,0.0,0.8932129216366942,fold_metric,5,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.2534406186302252,,,,,0.045295401044224644,sigmoid,0.021326825493899478,81,0,C=0.1;class_weight=None;penalty=l1,0.21667076957351397,,logistic,,3,0.74,-3.0,3,71,20,75.883699568842,3.36,2213.3,2.0,6,6,100,25,3,336,221330,0.054,0.0,0.0,0.8921732397184594,fold_metric,5,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.2509073671356717,,,,,0.04686321273975335,isotonic,0.02983916304137047,81,0,C=0.1;class_weight=None;penalty=l1,0.1920420818810154,,logistic,,3,0.71,-6.0,3,68,20,83.48731314579722,2.37,1515.47,2.0,9,9,100,28,3,237,151547,0.054,0.0,0.0,0.8921819399855575,fold_metric,2,0.15,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.192353284925609,,,,,0.08621611150623885,uncalibrated,0.08471469007297576,44,135,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=15,0.19251890937276667,,histgb,,3,0.73,-4.0,2,71,21,78.53384486810836,2.96,1970.08,2.0,6,6,100,26,2,296,197008,0.054,0.21511627906976744,0.4567901234567901,0.8330288239848964,fold_metric,2,0.4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1284,37
0.20729378224683603,,,,,0.04704034901473883,sigmoid,0.023227903622942796,81,1,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.185888884143903,,histgb,,3,0.75,-2.0,3,72,20,68.47665132861387,4.29,2893.09,3.0,5,5,100,24,3,429,289309,0.054,0.0,0.0,0.8534091996624296,fold_metric,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1418,0
0.2056574731055164,,,,,0.04780511472606636,isotonic,0.03001140474375654,81,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.18417723020490206,,histgb,,3,0.73,-4.0,2,71,21,78.78423685469312,2.97,1947.1,2.0,6,6,100,26,2,297,194710,0.054,0.0,0.0,0.8160198018079154,fold_metric,5,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1419,0
0.16277333907641106,,,,,0.13432571836477405,uncalibrated,0.22270444896027028,11,262,C=0.1;class_weight=balanced;penalty=l2,0.23256646737928,,logistic,,4,0.74,-3.0,1,73,22,77.88170462130002,3.19,1912.12,2.0,4,4,100,25,1,319,191212,0.034,0.13245033112582782,0.7843137254901961,0.8827724326445553,fold_metric,5,0.7,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1187,40
0.1623236643344088,,,,,0.03131134849355038,sigmoid,0.021027108950112106,51,0,C=0.1;class_weight=balanced;penalty=l1,0.232517555769817,,logistic,,4,0.74,-3.0,1,73,22,82.51630717052807,2.5,1511.46,2.0,4,4,100,25,1,250,151146,0.034,0.0,0.0,0.8842203548085901,fold_metric,2,0.15,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.14919940266872234,,,,,0.030330507591912796,isotonic,0.007921372053354027,51,0,C=0.1;class_weight=balanced;penalty=l1,0.24420925132287713,,logistic,,4,0.76,-1.0,1,75,22,72.59169204751433,3.77,2369.44,2.0,2,2,100,22,1,377,236944,0.034,0.0,0.0,0.8764529966576002,fold_metric,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.12930879971575737,,,,,0.10212954382955854,uncalibrated,0.1323438433620543,21,188,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=15,0.21153451151412805,,histgb,,4,0.73,-4.0,1,72,22,77.89442878344286,3.19,1911.02,2.0,5,5,100,26,1,319,191102,0.034,0.13761467889908258,0.5882352941176471,0.8465608465608466,fold_metric,5,0.5,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1261,30
0.13587689407749043,,,,,0.031165988265424167,sigmoid,0.018510588445647933,51,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.2185157346121779,,histgb,,4,0.74,-3.0,1,73,22,79.75146241108992,2.89,1750.48,2.0,4,4,100,25,1,289,175048,0.034,0.0,0.0,0.8515270842636571,fold_metric,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.1361701596576084,,,,,0.031414729863432606,isotonic,0.016607305996247938,51,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.22977879935324225,,histgb,,4,0.74,-3.0,1,73,22,77.3130502477163,3.21,1961.28,2.0,4,4,100,25,1,321,196128,0.034,0.0,0.0,0.8195442428179002,fold_metric,2,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.1620733702329074,,,,,0.03477221930214706,uncalibrated,0.017568658656155162,54,3,C=0.1;class_weight=None;penalty=l1,0.20552440280609635,,logistic,,5,0.75,-2.0,4,71,19,82.1469087936498,2.67,1537.51,2.0,6,6,100,25,4,267,153751,0.037333333333333336,0.4,0.03571428571428571,0.8412210625247329,fold_metric,5,0.15,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1441,2
0.13294884656185416,,,,,0.03538217574311426,sigmoid,0.016313030960987455,56,0,C=1.0;class_weight=balanced;penalty=l1,0.2170564892236044,,logistic,,5,0.75,-2.0,3,72,20,76.2868366386012,3.41,2042.18,2.0,5,5,100,23,3,341,204218,0.037333333333333336,0.0,0.0,0.8411963296398892,fold_metric,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.1226599105977988,,,,,0.03874878710643033,isotonic,0.025818807249601533,54,4,C=1.0;class_weight=balanced;penalty=l1,0.20480097414685658,,logistic,,5,0.74,-3.0,2,72,21,72.5903708890259,3.99,2360.52,2.0,5,5,100,22,2,399,236052,0.037333333333333336,0.3333333333333333,0.03571428571428571,0.8110345765730115,fold_metric,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1440,2
0.15639172665468995,,,,,0.1202264448249025,uncalibrated,0.16038625835077633,23,238,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.1946496172383947,,histgb,,5,0.76,-1.0,4,72,19,79.44103641310217,3.03,1770.54,2.0,5,5,100,24,4,303,177054,0.037333333333333336,0.12177121771217712,0.5892857142857143,0.856036060546102,fold_metric,2,0.7,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1206,33
