average_precision,brier,calibration,ece_10bin,feature_group,fn_at_0.5,fp_at_0.5,hyperparameters,inner_average_precision,inner_brier,model,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,selected_lambda_compute,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
0.2605310881254458,0.15454418665714006,uncalibrated,0.25061602516492926,F_all_signals_cost_prefix,2,279,C=0.1;class_weight=balanced;penalty=l1,0.19069565310222764,0.1409175531262966,logistic,1,0.77,0.0,0,77,23,52.6808438101136,6.29,4385.97,4.0,0,0,100,11,0,629,438597,0.027333333333333334,0.12264150943396226,0.9512195121951219,0.9385145187983751,1,10,0.3,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1180,39
0.2620513683537568,0.13351578068175937,uncalibrated,0.20316303471663244,F_all_signals_cost_prefix,1,302,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.15091855841370344,0.11964311212256042,histgb,1,0.77,0.0,0,77,23,50.18572841898346,6.76,4617.24,4.0,0,0,100,12,0,676,461724,0.027333333333333334,0.11695906432748537,0.975609756097561,0.9451261304936559,1,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1157,40
0.2877424271061038,0.018984164140253106,sigmoid,0.008599811739725356,F_all_signals_cost_prefix,35,0,C=0.1;class_weight=None;penalty=l1,0.20965112608557918,0.03270941826415817,logistic,2,0.85,-1.0,0,85,14,73.83694908038638,3.73,2273.87,2.0,1,1,100,12,0,373,227387,0.023333333333333334,0.0,0.0,0.935816674792784,1,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.25353028439664627,0.019287076830266186,uncalibrated,0.007189473783283796,F_all_signals_cost_prefix,35,0,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.15899349277725477,0.03538748627361787,histgb,2,0.86,0.0,1,85,13,79.45519292613751,2.97,1785.58,2.0,1,1,100,13,1,297,178558,0.023333333333333334,0.0,0.0,0.9524427108727451,1,5,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1465,0
0.2507953773138306,0.04628706108048149,sigmoid,0.026490998484571066,F_all_signals_cost_prefix,79,10,C=0.1;class_weight=None;penalty=l1,0.21667076957351397,0.026356806081515145,logistic,3,0.74,-3.0,3,71,20,77.58370643337426,3.14,2057.28,2.0,6,6,100,25,3,314,205728,0.054,0.16666666666666666,0.024691358024691357,0.8899155204064765,1,5,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1409,2
0.18706879751739663,0.09171824662989553,uncalibrated,0.09757668774523315,F_all_signals_cost_prefix,46,143,class_weight=balanced;l2_regularization=1.0;learning_rate=0.1;max_leaf_nodes=15,0.19251890937276667,0.07015241299074752,histgb,3,0.73,-4.0,2,71,21,77.95569870587222,3.05,2023.14,2.0,6,6,100,26,2,305,202314,0.054,0.19662921348314608,0.43209876543209874,0.7795047807967705,1,2,0.4,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1276,35
0.1484309202710688,0.031321646544933864,isotonic,0.016161459183343524,F_all_signals_cost_prefix,51,0,C=0.1;class_weight=balanced;penalty=l1,0.24420925132287713,0.029806716256185032,logistic,4,0.76,-1.0,1,75,22,69.16958647629778,4.23,2665.28,2.0,2,2,100,22,1,423,266528,0.034,0.0,0.0,0.8424809537341507,1,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.13294327359707805,0.03233992537421017,isotonic,0.016932867769119234,F_all_signals_cost_prefix,51,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.22977879935324225,0.03005469887666743,histgb,4,0.73,-4.0,1,72,22,79.12601200466861,3.02,1804.55,2.0,5,5,100,26,1,302,180455,0.034,0.0,0.0,0.8322101787574933,1,2,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.1433149837297257,0.03545393376409157,sigmoid,0.022523895259957072,F_all_signals_cost_prefix,56,0,C=1.0;class_weight=balanced;penalty=l1,0.2170564892236044,0.030999035688323583,logistic,5,0.76,-1.0,4,72,19,78.1335599935439,3.21,1883.14,2.0,5,5,100,24,4,321,188314,0.037333333333333336,0.0,0.0,0.8427545013850416,1,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.16374654480966122,0.03397160051759235,sigmoid,0.014013306190987495,F_all_signals_cost_prefix,56,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.24460159556301508,0.029895860116167378,histgb,5,0.75,-2.0,3,72,20,78.73551006094976,3.17,1831.3,2.0,5,5,100,25,3,317,183130,0.037333333333333336,0.0,0.0,0.8478247427779977,1,10,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
