answer_entropy,answer_stability,consensus,cumulative_output_tokens,future_answer_change,future_correctness_change,future_recovery,future_regression,invalid_extraction_rate,prefix,question_index,unique_answers,vote_margin
-0.0,1,1.0,275,0,0,0,0,0.0,1,0,1,1.0
-0.0,2,1.0,635,0,0,0,0,0.0,2,0,1,1.0
-0.0,3,1.0,992,0,0,0,0,0.0,3,0,1,1.0
-0.0,4,1.0,1281,0,0,0,0,0.0,4,0,1,1.0
-0.0,5,1.0,1568,0,0,0,0,0.0,5,0,1,1.0
-0.0,6,1.0,1893,0,0,0,0,0.0,6,0,1,1.0
-0.0,7,1.0,2164,0,0,0,0,0.0,7,0,1,1.0
-0.0,8,1.0,2410,0,0,0,0,0.0,8,0,1,1.0
-0.0,9,1.0,2736,0,0,0,0,0.0,9,0,1,1.0
-0.0,10,1.0,3035,0,0,0,0,0.0,10,0,1,1.0
-0.0,11,1.0,3311,0,0,0,0,0.0,11,0,1,1.0
-0.0,12,1.0,3565,0,0,0,0,0.0,12,0,1,1.0
-0.0,13,1.0,3918,0,0,0,0,0.0,13,0,1,1.0
-0.0,14,1.0,4260,0,0,0,0,0.0,14,0,1,1.0
-0.0,15,1.0,4636,0,0,0,0,0.0,15,0,1,1.0
-0.0,1,1.0,560,0,0,0,0,0.0,1,1,1,1.0
-0.0,2,1.0,1087,0,0,0,0,0.0,2,1,1,1.0
-0.0,3,1.0,1743,0,0,0,0,0.0,3,1,1,1.0
-0.0,4,1.0,2443,0,0,0,0,0.0,4,1,1,1.0
-0.0,5,1.0,3050,0,0,0,0,0.0,5,1,1,1.0
-0.0,6,1.0,3668,0,0,0,0,0.0,6,1,1,1.0
-0.0,7,1.0,4225,0,0,0,0,0.0,7,1,1,1.0
-0.0,8,1.0,4900,0,0,0,0,0.0,8,1,1,1.0
-0.0,9,1.0,5415,0,0,0,0,0.0,9,1,1,1.0
-0.0,10,1.0,6028,0,0,0,0,0.0,10,1,1,1.0
-0.0,11,1.0,6721,0,0,0,0,0.0,11,1,1,1.0
-0.0,12,1.0,7317,0,0,0,0,0.0,12,1,1,1.0
-0.0,13,1.0,7989,0,0,0,0,0.0,13,1,1,1.0
-0.0,14,1.0,8555,0,0,0,0,0.0,14,1,1,1.0
-0.0,15,1.0,9103,0,0,0,0,0.0,15,1,1,1.0
-0.0,1,1.0,520,0,0,0,0,0.0,1,2,1,1.0
-0.0,2,1.0,1038,0,0,0,0,0.0,2,2,1,1.0
-0.0,3,1.0,1543,0,0,0,0,0.0,3,2,1,1.0
-0.0,4,1.0,2026,0,0,0,0,0.0,4,2,1,1.0
-0.0,5,1.0,2514,0,0,0,0,0.0,5,2,1,1.0
-0.0,6,1.0,3006,0,0,0,0,0.0,6,2,1,1.0
-0.0,7,1.0,3498,0,0,0,0,0.0,7,2,1,1.0
-0.0,8,1.0,3968,0,0,0,0,0.0,8,2,1,1.0
-0.0,9,1.0,4498,0,0,0,0,0.0,9,2,1,1.0
-0.0,10,1.0,5013,0,0,0,0,0.0,10,2,1,1.0
-0.0,11,1.0,5501,0,0,0,0,0.0,11,2,1,1.0
-0.0,12,1.0,5974,0,0,0,0,0.0,12,2,1,1.0
-0.0,13,1.0,6452,0,0,0,0,0.0,13,2,1,1.0
-0.0,14,1.0,6945,0,0,0,0,0.0,14,2,1,1.0
-0.0,15,1.0,7434,0,0,0,0,0.0,15,2,1,1.0
-0.0,1,1.0,433,0,0,0,0,0.0,1,3,1,1.0
-0.0,2,1.0,919,0,0,0,0,0.0,2,3,1,1.0
-0.0,3,1.0,1379,0,0,0,0,0.0,3,3,1,1.0
-0.0,4,1.0,1845,0,0,0,0,0.0,4,3,1,1.0
-0.0,5,1.0,2304,0,0,0,0,0.0,5,3,1,1.0
-0.0,6,1.0,2777,0,0,0,0,0.0,6,3,1,1.0
-0.0,7,1.0,3230,0,0,0,0,0.0,7,3,1,1.0
-0.0,8,1.0,3767,0,0,0,0,0.0,8,3,1,1.0
-0.0,9,1.0,4230,0,0,0,0,0.0,9,3,1,1.0
-0.0,10,1.0,4794,0,0,0,0,0.0,10,3,1,1.0
-0.0,11,1.0,5346,0,0,0,0,0.0,11,3,1,1.0
-0.0,12,1.0,5859,0,0,0,0,0.0,12,3,1,1.0
-0.0,13,1.0,6336,0,0,0,0,0.0,13,3,1,1.0
-0.0,14,1.0,6734,0,0,0,0,0.0,14,3,1,1.0
-0.0,15,1.0,7230,0,0,0,0,0.0,15,3,1,1.0
-0.0,1,1.0,1024,0,0,0,0,0.0,1,4,1,1.0
-0.0,2,1.0,1513,0,0,0,0,0.0,2,4,1,1.0
-0.0,3,1.0,1970,0,0,0,0,0.0,3,4,1,1.0
-0.0,4,1.0,2466,0,0,0,0,0.0,4,4,1,1.0
-0.0,5,1.0,2956,0,0,0,0,0.0,5,4,1,1.0
-0.0,6,1.0,3611,0,0,0,0,0.0,6,4,1,1.0
-0.0,7,1.0,4253,0,0,0,0,0.0,7,4,1,1.0
-0.0,8,1.0,5053,0,0,0,0,0.0,8,4,1,1.0
-0.0,9,1.0,5649,0,0,0,0,0.0,9,4,1,1.0
-0.0,10,1.0,6673,0,0,0,0,0.0,10,4,1,1.0
-0.0,11,1.0,7182,0,0,0,0,0.0,11,4,1,1.0
-0.0,12,1.0,7703,0,0,0,0,0.0,12,4,1,1.0
-0.0,13,1.0,8133,0,0,0,0,0.0,13,4,1,1.0
-0.0,14,1.0,8600,0,0,0,0,0.0,14,4,1,1.0
-0.0,15,1.0,9193,0,0,0,0,0.0,15,4,1,1.0
-0.0,1,1.0,269,0,0,0,0,0.0,1,5,1,1.0
-0.0,2,1.0,539,0,0,0,0,0.0,2,5,1,1.0
-0.0,3,1.0,804,0,0,0,0,0.0,3,5,1,1.0
-0.0,4,1.0,1005,0,0,0,0,0.0,4,5,1,1.0
-0.0,5,1.0,1274,0,0,0,0,0.0,5,5,1,1.0
-0.0,6,1.0,1531,0,0,0,0,0.0,6,5,1,1.0
-0.0,7,1.0,1805,0,0,0,0,0.0,7,5,1,1.0
-0.0,8,1.0,2120,0,0,0,0,0.0,8,5,1,1.0
-0.0,9,1.0,2409,0,0,0,0,0.0,9,5,1,1.0
-0.0,10,1.0,2673,0,0,0,0,0.0,10,5,1,1.0
-0.0,11,1.0,2951,0,0,0,0,0.0,11,5,1,1.0
-0.0,12,1.0,3221,0,0,0,0,0.0,12,5,1,1.0
-0.0,13,1.0,3501,0,0,0,0,0.0,13,5,1,1.0
