accuracy_difference_pp,adaptive_only_correct,bootstrap_replicates,bootstrap_seed,both_correct,both_wrong,mcnemar_exact_p,n16_only_correct,n_questions,paired_bootstrap_ci95_high_pp,paired_bootstrap_ci95_low_pp,policy_id
-6.800000000000001,8,10000,2336061768,352,98,1.163555804595262e-06,42,500,-4.2,-9.6,fixed_n1
0.0,0,10000,3700134256,394,106,1.0,0,500,0.0,0.0,fixed_n16
-5.800000000000001,10,10000,3012960581,355,96,3.845911694355664e-05,39,500,-3.2,-8.6,fixed_n2
-4.0,10,10000,2225969630,364,96,0.0022214337732293643,30,500,-1.6,-6.4,fixed_n4
-0.4,11,10000,560667959,381,95,0.8388197422027588,13,500,1.6,-2.4,fixed_n8
-3.4000000000000004,12,10000,3417647584,365,94,0.011507789735333063,29,500,-1.0,-6.0,histgb_start2_checkpoint_lambda1
-2.0,5,10000,2360686158,379,101,0.04138946533203125,15,500,-0.2,-3.8,histgb_start2_checkpoint_lambda10
-2.6,12,10000,2249468821,369,94,0.04703102743951604,25,500,-0.2,-5.0,histgb_start2_checkpoint_lambda2
-1.4000000000000001,10,10000,2236089917,377,96,0.24778856337070465,17,500,0.6,-3.4000000000000004,histgb_start2_checkpoint_lambda5
-2.0,7,10000,3769665149,377,99,0.06391465663909912,17,500,-0.2,-4.0,histgb_start2_checkpoint_selected
-3.5999999999999996,11,10000,1608644572,365,95,0.006426576095691416,29,500,-1.2,-6.0,histgb_start2_every_sample_lambda1
-1.7999999999999998,6,10000,2523133391,379,100,0.0783538818359375,15,500,0.0,-3.5999999999999996,histgb_start2_every_sample_lambda10
-1.4000000000000001,11,10000,2723670461,376,95,0.26493089646101,18,500,0.6,-3.5999999999999996,histgb_start2_every_sample_lambda2
-1.6,9,10000,2315034007,377,97,0.16863754391670227,17,500,0.4,-3.5999999999999996,histgb_start2_every_sample_lambda5
-2.0,7,10000,1154210244,377,99,0.06391465663909912,17,500,-0.2,-4.0,histgb_start2_every_sample_selected
-1.4000000000000001,11,10000,2963221972,376,95,0.26493089646101,18,500,0.6049999999999273,-3.4000000000000004,histgb_start4_checkpoint_lambda1
-1.4000000000000001,5,10000,3533967907,382,101,0.143463134765625,12,500,0.2,-3.0,histgb_start4_checkpoint_lambda10
-1.4000000000000001,9,10000,3853693693,378,97,0.2295229434967041,16,500,0.6,-3.4000000000000004,histgb_start4_checkpoint_lambda2
-0.8,8,10000,1835373732,382,98,0.5034446716308594,12,500,0.8,-2.6,histgb_start4_checkpoint_lambda5
-1.4000000000000001,5,10000,1632388489,382,101,0.143463134765625,12,500,0.2,-3.0,histgb_start4_checkpoint_selected
-1.6,12,10000,2260529790,374,94,0.21532714972272515,20,500,0.6,-3.8049999999999953,histgb_start4_every_sample_lambda1
-2.0,4,10000,2767517171,380,102,0.0308837890625,14,500,-0.4,-3.8,histgb_start4_every_sample_lambda10
-1.0,10,10000,1632416519,379,96,0.42435622215270996,15,500,1.0,-3.0,histgb_start4_every_sample_lambda2
-2.0,4,10000,231490873,380,102,0.0308837890625,14,500,-0.4,-3.8,histgb_start4_every_sample_lambda5
-1.6,7,10000,2260332882,379,99,0.13380050659179688,15,500,0.2,-3.4000000000000004,histgb_start4_every_sample_selected
-3.8,10,10000,1063134048,365,96,0.0033778479119064286,29,500,-1.4000000000000001,-6.2,logistic_start2_checkpoint_lambda1
-1.2,7,10000,123300034,381,99,0.26317596435546875,13,500,0.6,-3.0,logistic_start2_checkpoint_lambda10
-3.4000000000000004,9,10000,4278830458,368,97,0.005988120567053557,26,500,-1.2,-5.800000000000001,logistic_start2_checkpoint_lambda2
-2.0,10,10000,1815769671,374,96,0.09873714670538905,20,500,0.0,-4.2,logistic_start2_checkpoint_lambda5
-1.2,7,10000,2595690176,381,99,0.26317596435546875,13,500,0.6,-3.0,logistic_start2_checkpoint_selected
-3.4000000000000004,11,10000,3946545941,366,95,0.009475304279476404,28,500,-1.0,-5.800000000000001,logistic_start2_every_sample_lambda1
-1.2,8,10000,536255531,380,98,0.28627872467041016,14,500,0.6,-3.0,logistic_start2_every_sample_lambda10
-3.2,9,10000,3422458555,369,97,0.00904118549078703,25,500,-1.0,-5.6000000000000005,logistic_start2_every_sample_lambda2
-1.4000000000000001,11,10000,1849093445,376,95,0.26493089646101,18,500,0.8,-3.4000000000000004,logistic_start2_every_sample_lambda5
-1.2,8,10000,1630751630,380,98,0.28627872467041016,14,500,0.6,-3.0,logistic_start2_every_sample_selected
-2.6,10,10000,1322657670,371,96,0.03508203336969018,23,500,-0.4,-5.0,logistic_start4_checkpoint_lambda1
-1.0,4,10000,2461422743,385,102,0.266845703125,9,500,0.4,-2.4,logistic_start4_checkpoint_lambda10
-1.6,9,10000,2417595917,377,97,0.16863754391670227,17,500,0.4,-3.5999999999999996,logistic_start4_checkpoint_lambda2
-1.7999999999999998,7,10000,4244882324,378,99,0.0931396484375,16,500,0.0,-3.8,logistic_start4_checkpoint_lambda5
-2.0,5,10000,1655161333,379,101,0.04138946533203125,15,500,-0.2,-3.8,logistic_start4_checkpoint_selected
-2.4,10,10000,4226893317,372,96,0.050102459732443094,22,500,-0.2,-4.6,logistic_start4_every_sample_lambda1
-1.0,4,10000,125740003,385,102,0.266845703125,9,500,0.4,-2.4,logistic_start4_every_sample_lambda10
-1.7999999999999998,10,10000,1696311187,375,96,0.13604594767093658,19,500,0.2,-4.0,logistic_start4_every_sample_lambda2
-1.0,8,10000,2427179659,381,98,0.38331031799316406,13,500,0.8,-2.8000000000000003,logistic_start4_every_sample_lambda5
-1.7999999999999998,8,10000,2418307976,377,98,0.10775214433670044,17,500,0.2,-3.8,logistic_start4_every_sample_selected
-1.2,9,10000,3447676028,379,97,0.30745625495910645,15,500,0.6,-3.2,simple_consensus
-0.8,5,10000,3209996452,385,101,0.4239501953125,9,500,0.6,-2.4,simple_entropy
-0.4,9,10000,214494558,383,97,0.8238029479980469,11,500,1.4000000000000001,-2.1999999999999997,simple_margin
-4.6,10,10000,2576714961,361,96,0.0006061066312668117,33,500,-2.0,-7.000000000000001,simple_stability
