outer_fold,policy_id,questions_stopped,scope,stop_budget
all,fixed_n1,500,outer_aggregate,1
all,fixed_n1,0,outer_aggregate,2
all,fixed_n1,0,outer_aggregate,3
all,fixed_n1,0,outer_aggregate,4
all,fixed_n1,0,outer_aggregate,5
all,fixed_n1,0,outer_aggregate,6
all,fixed_n1,0,outer_aggregate,7
all,fixed_n1,0,outer_aggregate,8
all,fixed_n1,0,outer_aggregate,9
all,fixed_n1,0,outer_aggregate,10
all,fixed_n1,0,outer_aggregate,11
all,fixed_n1,0,outer_aggregate,12
all,fixed_n1,0,outer_aggregate,13
all,fixed_n1,0,outer_aggregate,14
all,fixed_n1,0,outer_aggregate,15
all,fixed_n1,0,outer_aggregate,16
all,fixed_n16,0,outer_aggregate,1
all,fixed_n16,0,outer_aggregate,2
all,fixed_n16,0,outer_aggregate,3
all,fixed_n16,0,outer_aggregate,4
all,fixed_n16,0,outer_aggregate,5
all,fixed_n16,0,outer_aggregate,6
all,fixed_n16,0,outer_aggregate,7
all,fixed_n16,0,outer_aggregate,8
all,fixed_n16,0,outer_aggregate,9
all,fixed_n16,0,outer_aggregate,10
all,fixed_n16,0,outer_aggregate,11
all,fixed_n16,0,outer_aggregate,12
all,fixed_n16,0,outer_aggregate,13
all,fixed_n16,0,outer_aggregate,14
all,fixed_n16,0,outer_aggregate,15
all,fixed_n16,500,outer_aggregate,16
all,fixed_n2,0,outer_aggregate,1
all,fixed_n2,500,outer_aggregate,2
all,fixed_n2,0,outer_aggregate,3
all,fixed_n2,0,outer_aggregate,4
all,fixed_n2,0,outer_aggregate,5
all,fixed_n2,0,outer_aggregate,6
all,fixed_n2,0,outer_aggregate,7
all,fixed_n2,0,outer_aggregate,8
all,fixed_n2,0,outer_aggregate,9
all,fixed_n2,0,outer_aggregate,10
all,fixed_n2,0,outer_aggregate,11
all,fixed_n2,0,outer_aggregate,12
all,fixed_n2,0,outer_aggregate,13
all,fixed_n2,0,outer_aggregate,14
all,fixed_n2,0,outer_aggregate,15
all,fixed_n2,0,outer_aggregate,16
all,fixed_n4,0,outer_aggregate,1
all,fixed_n4,0,outer_aggregate,2
all,fixed_n4,0,outer_aggregate,3
all,fixed_n4,500,outer_aggregate,4
all,fixed_n4,0,outer_aggregate,5
all,fixed_n4,0,outer_aggregate,6
all,fixed_n4,0,outer_aggregate,7
all,fixed_n4,0,outer_aggregate,8
all,fixed_n4,0,outer_aggregate,9
all,fixed_n4,0,outer_aggregate,10
all,fixed_n4,0,outer_aggregate,11
all,fixed_n4,0,outer_aggregate,12
all,fixed_n4,0,outer_aggregate,13
all,fixed_n4,0,outer_aggregate,14
all,fixed_n4,0,outer_aggregate,15
all,fixed_n4,0,outer_aggregate,16
all,fixed_n8,0,outer_aggregate,1
all,fixed_n8,0,outer_aggregate,2
all,fixed_n8,0,outer_aggregate,3
all,fixed_n8,0,outer_aggregate,4
all,fixed_n8,0,outer_aggregate,5
all,fixed_n8,0,outer_aggregate,6
all,fixed_n8,0,outer_aggregate,7
all,fixed_n8,500,outer_aggregate,8
all,fixed_n8,0,outer_aggregate,9
all,fixed_n8,0,outer_aggregate,10
all,fixed_n8,0,outer_aggregate,11
all,fixed_n8,0,outer_aggregate,12
all,fixed_n8,0,outer_aggregate,13
all,fixed_n8,0,outer_aggregate,14
all,fixed_n8,0,outer_aggregate,15
all,fixed_n8,0,outer_aggregate,16
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,1
all,histgb_start2_checkpoint_lambda1,436,outer_aggregate,2
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,3
all,histgb_start2_checkpoint_lambda1,27,outer_aggregate,4
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,5
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,6
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,7
all,histgb_start2_checkpoint_lambda1,21,outer_aggregate,8
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,9
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,10
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,11
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,12
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,13
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,14
all,histgb_start2_checkpoint_lambda1,0,outer_aggregate,15
all,histgb_start2_checkpoint_lambda1,16,outer_aggregate,16
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,1
all,histgb_start2_checkpoint_lambda10,166,outer_aggregate,2
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,3
all,histgb_start2_checkpoint_lambda10,199,outer_aggregate,4
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,5
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,6
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,7
all,histgb_start2_checkpoint_lambda10,63,outer_aggregate,8
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,9
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,10
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,11
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,12
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,13
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,14
all,histgb_start2_checkpoint_lambda10,0,outer_aggregate,15
all,histgb_start2_checkpoint_lambda10,72,outer_aggregate,16
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,1
all,histgb_start2_checkpoint_lambda2,400,outer_aggregate,2
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,3
all,histgb_start2_checkpoint_lambda2,44,outer_aggregate,4
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,5
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,6
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,7
all,histgb_start2_checkpoint_lambda2,40,outer_aggregate,8
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,9
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,10
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,11
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,12
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,13
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,14
all,histgb_start2_checkpoint_lambda2,0,outer_aggregate,15
all,histgb_start2_checkpoint_lambda2,16,outer_aggregate,16
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,1
all,histgb_start2_checkpoint_lambda5,368,outer_aggregate,2
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,3
all,histgb_start2_checkpoint_lambda5,41,outer_aggregate,4
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,5
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,6
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,7
all,histgb_start2_checkpoint_lambda5,51,outer_aggregate,8
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,9
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,10
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,11
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,12
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,13
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,14
all,histgb_start2_checkpoint_lambda5,0,outer_aggregate,15
all,histgb_start2_checkpoint_lambda5,40,outer_aggregate,16
all,histgb_start2_checkpoint_selected,0,outer_aggregate,1
all,histgb_start2_checkpoint_selected,300,outer_aggregate,2
all,histgb_start2_checkpoint_selected,0,outer_aggregate,3
all,histgb_start2_checkpoint_selected,92,outer_aggregate,4
all,histgb_start2_checkpoint_selected,0,outer_aggregate,5
all,histgb_start2_checkpoint_selected,0,outer_aggregate,6
all,histgb_start2_checkpoint_selected,0,outer_aggregate,7
all,histgb_start2_checkpoint_selected,55,outer_aggregate,8
all,histgb_start2_checkpoint_selected,0,outer_aggregate,9
all,histgb_start2_checkpoint_selected,0,outer_aggregate,10
all,histgb_start2_checkpoint_selected,0,outer_aggregate,11
all,histgb_start2_checkpoint_selected,0,outer_aggregate,12
all,histgb_start2_checkpoint_selected,0,outer_aggregate,13
all,histgb_start2_checkpoint_selected,0,outer_aggregate,14
all,histgb_start2_checkpoint_selected,0,outer_aggregate,15
all,histgb_start2_checkpoint_selected,53,outer_aggregate,16
all,histgb_start2_every_sample_lambda1,0,outer_aggregate,1
all,histgb_start2_every_sample_lambda1,436,outer_aggregate,2
all,histgb_start2_every_sample_lambda1,10,outer_aggregate,3
all,histgb_start2_every_sample_lambda1,20,outer_aggregate,4
all,histgb_start2_every_sample_lambda1,9,outer_aggregate,5
all,histgb_start2_every_sample_lambda1,4,outer_aggregate,6
all,histgb_start2_every_sample_lambda1,6,outer_aggregate,7
all,histgb_start2_every_sample_lambda1,3,outer_aggregate,8
all,histgb_start2_every_sample_lambda1,2,outer_aggregate,9
all,histgb_start2_every_sample_lambda1,2,outer_aggregate,10
all,histgb_start2_every_sample_lambda1,1,outer_aggregate,11
all,histgb_start2_every_sample_lambda1,1,outer_aggregate,12
all,histgb_start2_every_sample_lambda1,0,outer_aggregate,13
all,histgb_start2_every_sample_lambda1,1,outer_aggregate,14
all,histgb_start2_every_sample_lambda1,0,outer_aggregate,15
all,histgb_start2_every_sample_lambda1,5,outer_aggregate,16
all,histgb_start2_every_sample_lambda10,0,outer_aggregate,1
all,histgb_start2_every_sample_lambda10,199,outer_aggregate,2
all,histgb_start2_every_sample_lambda10,110,outer_aggregate,3
all,histgb_start2_every_sample_lambda10,61,outer_aggregate,4
all,histgb_start2_every_sample_lambda10,15,outer_aggregate,5
all,histgb_start2_every_sample_lambda10,23,outer_aggregate,6
all,histgb_start2_every_sample_lambda10,19,outer_aggregate,7
all,histgb_start2_every_sample_lambda10,9,outer_aggregate,8
all,histgb_start2_every_sample_lambda10,8,outer_aggregate,9
all,histgb_start2_every_sample_lambda10,14,outer_aggregate,10
all,histgb_start2_every_sample_lambda10,3,outer_aggregate,11
all,histgb_start2_every_sample_lambda10,7,outer_aggregate,12
all,histgb_start2_every_sample_lambda10,6,outer_aggregate,13
all,histgb_start2_every_sample_lambda10,3,outer_aggregate,14
all,histgb_start2_every_sample_lambda10,2,outer_aggregate,15
all,histgb_start2_every_sample_lambda10,21,outer_aggregate,16
all,histgb_start2_every_sample_lambda2,0,outer_aggregate,1
all,histgb_start2_every_sample_lambda2,374,outer_aggregate,2
all,histgb_start2_every_sample_lambda2,25,outer_aggregate,3
all,histgb_start2_every_sample_lambda2,25,outer_aggregate,4
all,histgb_start2_every_sample_lambda2,17,outer_aggregate,5
all,histgb_start2_every_sample_lambda2,13,outer_aggregate,6
all,histgb_start2_every_sample_lambda2,21,outer_aggregate,7
all,histgb_start2_every_sample_lambda2,10,outer_aggregate,8
all,histgb_start2_every_sample_lambda2,4,outer_aggregate,9
all,histgb_start2_every_sample_lambda2,2,outer_aggregate,10
all,histgb_start2_every_sample_lambda2,2,outer_aggregate,11
all,histgb_start2_every_sample_lambda2,1,outer_aggregate,12
all,histgb_start2_every_sample_lambda2,0,outer_aggregate,13
