inner_fold,outer_fold,question_index,role
,1,0,outer_train
,1,1,outer_train
,1,2,outer_train
,1,3,outer_train
,1,5,outer_train
,1,6,outer_train
,1,7,outer_train
,1,10,outer_train
,1,12,outer_train
,1,13,outer_train
,1,14,outer_train
,1,15,outer_train
,1,17,outer_train
,1,18,outer_train
,1,19,outer_train
,1,20,outer_train
,1,22,outer_train
,1,23,outer_train
,1,24,outer_train
,1,25,outer_train
,1,26,outer_train
,1,27,outer_train
,1,29,outer_train
,1,30,outer_train
,1,31,outer_train
,1,32,outer_train
,1,34,outer_train
,1,35,outer_train
,1,36,outer_train
,1,37,outer_train
,1,38,outer_train
,1,39,outer_train
,1,40,outer_train
,1,41,outer_train
,1,43,outer_train
,1,44,outer_train
,1,46,outer_train
,1,47,outer_train
,1,49,outer_train
,1,50,outer_train
,1,51,outer_train
,1,52,outer_train
,1,53,outer_train
,1,54,outer_train
,1,55,outer_train
,1,56,outer_train
,1,57,outer_train
,1,58,outer_train
,1,59,outer_train
,1,60,outer_train
,1,61,outer_train
,1,64,outer_train
,1,65,outer_train
,1,66,outer_train
,1,68,outer_train
,1,69,outer_train
,1,70,outer_train
,1,71,outer_train
,1,73,outer_train
,1,75,outer_train
,1,77,outer_train
,1,78,outer_train
,1,79,outer_train
,1,81,outer_train
,1,82,outer_train
,1,83,outer_train
,1,84,outer_train
,1,85,outer_train
,1,86,outer_train
,1,87,outer_train
,1,89,outer_train
,1,91,outer_train
,1,92,outer_train
,1,93,outer_train
,1,94,outer_train
,1,95,outer_train
,1,96,outer_train
,1,97,outer_train
,1,98,outer_train
,1,99,outer_train
,1,100,outer_train
,1,101,outer_train
,1,104,outer_train
,1,105,outer_train
,1,106,outer_train
,1,108,outer_train
,1,110,outer_train
,1,111,outer_train
,1,112,outer_train
,1,113,outer_train
,1,114,outer_train
,1,115,outer_train
,1,116,outer_train
,1,119,outer_train
,1,120,outer_train
,1,121,outer_train
,1,122,outer_train
,1,123,outer_train
,1,124,outer_train
,1,125,outer_train
,1,126,outer_train
,1,127,outer_train
,1,129,outer_train
,1,130,outer_train
,1,131,outer_train
,1,132,outer_train
,1,133,outer_train
,1,134,outer_train
,1,135,outer_train
,1,136,outer_train
,1,137,outer_train
,1,138,outer_train
,1,139,outer_train
,1,140,outer_train
,1,142,outer_train
,1,144,outer_train
,1,145,outer_train
,1,146,outer_train
,1,147,outer_train
,1,151,outer_train
,1,152,outer_train
,1,153,outer_train
,1,154,outer_train
,1,155,outer_train
,1,156,outer_train
,1,157,outer_train
,1,158,outer_train
,1,159,outer_train
,1,160,outer_train
,1,161,outer_train
,1,162,outer_train
,1,163,outer_train
,1,164,outer_train
,1,165,outer_train
,1,166,outer_train
,1,168,outer_train
,1,169,outer_train
,1,170,outer_train
,1,171,outer_train
,1,172,outer_train
,1,174,outer_train
,1,175,outer_train
,1,176,outer_train
,1,178,outer_train
,1,180,outer_train
,1,182,outer_train
,1,183,outer_train
,1,184,outer_train
,1,185,outer_train
,1,186,outer_train
,1,187,outer_train
,1,188,outer_train
,1,189,outer_train
,1,190,outer_train
,1,191,outer_train
,1,192,outer_train
,1,193,outer_train
,1,194,outer_train
,1,196,outer_train
,1,197,outer_train
,1,198,outer_train
,1,199,outer_train
,1,200,outer_train
,1,201,outer_train
,1,202,outer_train
,1,203,outer_train
,1,204,outer_train
,1,205,outer_train
,1,206,outer_train
,1,207,outer_train
,1,208,outer_train
,1,210,outer_train
,1,212,outer_train
,1,213,outer_train
,1,214,outer_train
,1,215,outer_train
,1,216,outer_train
,1,217,outer_train
,1,218,outer_train
,1,219,outer_train
,1,220,outer_train
,1,223,outer_train
,1,224,outer_train
,1,226,outer_train
,1,229,outer_train
,1,230,outer_train
,1,231,outer_train
,1,232,outer_train
,1,233,outer_train
,1,234,outer_train
,1,235,outer_train
,1,237,outer_train
,1,238,outer_train
,1,239,outer_train
,1,240,outer_train
,1,241,outer_train
,1,242,outer_train
,1,243,outer_train
,1,244,outer_train
,1,245,outer_train
,1,246,outer_train
,1,247,outer_train
,1,248,outer_train
,1,249,outer_train
,1,250,outer_train
,1,252,outer_train
,1,255,outer_train
,1,256,outer_train
,1,258,outer_train
,1,259,outer_train
,1,262,outer_train
,1,263,outer_train
,1,265,outer_train
,1,266,outer_train
,1,267,outer_train
,1,268,outer_train
,1,269,outer_train
,1,270,outer_train
,1,271,outer_train
,1,272,outer_train
,1,274,outer_train
,1,275,outer_train
,1,276,outer_train
,1,277,outer_train
,1,278,outer_train
,1,279,outer_train
,1,280,outer_train
,1,281,outer_train
,1,282,outer_train
,1,283,outer_train
,1,286,outer_train
,1,287,outer_train
,1,288,outer_train
,1,289,outer_train
,1,292,outer_train
,1,294,outer_train
,1,295,outer_train
,1,296,outer_train
,1,297,outer_train
,1,298,outer_train
,1,300,outer_train
,1,301,outer_train
,1,302,outer_train
,1,304,outer_train
,1,305,outer_train
,1,306,outer_train
,1,307,outer_train
,1,308,outer_train
,1,309,outer_train
,1,310,outer_train
,1,311,outer_train
,1,312,outer_train
,1,313,outer_train
,1,314,outer_train
,1,316,outer_train
,1,317,outer_train
,1,318,outer_train
,1,319,outer_train
,1,320,outer_train
,1,321,outer_train
,1,322,outer_train
,1,323,outer_train
,1,324,outer_train
,1,325,outer_train
,1,327,outer_train
,1,329,outer_train
,1,330,outer_train
,1,332,outer_train
,1,333,outer_train
,1,334,outer_train
,1,336,outer_train
,1,338,outer_train
,1,340,outer_train
,1,341,outer_train
,1,342,outer_train
,1,343,outer_train
,1,344,outer_train
,1,345,outer_train
,1,346,outer_train
,1,347,outer_train
,1,349,outer_train
,1,350,outer_train
,1,351,outer_train
,1,352,outer_train
,1,353,outer_train
,1,354,outer_train
,1,355,outer_train
,1,356,outer_train
,1,357,outer_train
,1,358,outer_train
,1,359,outer_train
,1,360,outer_train
,1,361,outer_train
,1,362,outer_train
,1,363,outer_train
,1,364,outer_train
,1,365,outer_train
,1,366,outer_train
,1,368,outer_train
,1,370,outer_train
,1,372,outer_train
,1,374,outer_train
,1,375,outer_train
,1,379,outer_train
,1,380,outer_train
,1,381,outer_train
,1,382,outer_train
,1,384,outer_train
,1,385,outer_train
,1,386,outer_train
,1,387,outer_train
,1,388,outer_train
,1,389,outer_train
