accuracy,both_correct,both_wrong,calibration,feature_group,hyperparameters,inner_loss,lambda_miss,margin_rule,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,pareto_efficient_samples,pareto_efficient_tokens,policy_id,policy_only_correct,policy_type,premature_stopping_errors,regressions_avoided,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,token_reduction_vs_n16_pct,total_samples,total_tokens,unnecessary_continuations
0.72,,,,,,,,,1.0,556.548,1.0,42,none,,,all,True,True,fixed_n1,,fixed,140,8,93.75,,outer_aggregate,Phase2_nested_question_cv,,,93.7318122791823,500,278274,
0.788,,,,,,,,,16.0,8878.93,16.0,0,none,,,all,False,False,fixed_n16,,fixed,0,0,0.0,,outer_aggregate,Phase2_nested_question_cv,,,0.0,8000,4439465,
0.73,,,,,,,,,2.0,1121.852,2.0,39,none,,,all,True,True,fixed_n2,,fixed,135,10,87.5,,outer_aggregate,Phase2_nested_question_cv,,,87.36500907203907,1000,560926,
0.748,,,,,,,,,4.0,2226.288,4.0,30,none,,,all,False,False,fixed_n4,,fixed,126,10,75.0,,outer_aggregate,Phase2_nested_question_cv,,,74.92616790536697,2000,1113144,
0.784,,,,,,,,,8.0,4426.362,8.0,13,none,,,all,False,False,fixed_n8,,fixed,108,11,50.0,,outer_aggregate,Phase2_nested_question_cv,,,50.1475740883192,4000,2213181,
0.776,,,,,,,,,4.12,2653.108,2.0,14,logistic,,,all,False,False,logistic_start2_every_sample_selected,,learned,94,8,74.25,,outer_aggregate,Phase2_nested_question_cv,,,70.11905713864171,2060,1326554,
0.776,,,,,,,,,3.538,2251.668,2.0,15,none,,,all,False,False,simple_consensus,,simple_threshold,85,9,77.8875,,outer_aggregate,Phase2_nested_question_cv,,,74.64032265149066,1769,1125834,
0.78,,,,,,,,,5.006,3156.988,2.0,9,none,,,all,False,False,simple_entropy,,simple_threshold,63,5,68.7125,,outer_aggregate,Phase2_nested_question_cv,,,64.44404900139995,2503,1578494,
0.784,,,,,,,,,4.038,2561.112,2.0,11,none,,,all,True,True,simple_margin,,simple_threshold,73,9,74.7625,,outer_aggregate,Phase2_nested_question_cv,,,71.15517297692402,2019,1280556,
0.742,,,,,,,,,2.974,1785.526,2.0,33,none,,,all,False,True,simple_stability,,simple_threshold,125,10,81.4125,,outer_aggregate,Phase2_nested_question_cv,,,79.89030209721216,1487,892763,
0.776,376,94,,G_original_plus_trajectory,,,2,,2.96,1860.32,2.0,18,logistic,18,500,all,True,True,safe_logistic_start2_every_sample_lambda2,12,safe_stop,108,12,81.5,every_sample,outer_aggregate,inner_oof,,2,79.04792581989047,1480,930160,5
0.778,378,95,,G_original_plus_trajectory,,,5,,3.276,2100.194,2.0,16,logistic,16,500,all,True,True,safe_logistic_start2_every_sample_lambda5,11,safe_stop,106,11,79.525,every_sample,outer_aggregate,inner_oof,,2,76.34631650435357,1638,1050097,6
0.77,383,104,,G_original_plus_trajectory,,,10,,4.952,3272.48,3.0,11,logistic,11,500,all,False,False,safe_logistic_start2_every_sample_lambda10,2,safe_stop,83,2,69.05,every_sample,outer_aggregate,inner_oof,,2,63.1433066822241,2476,1636240,34
0.788,393,105,,G_original_plus_trajectory,,,20,,6.68,4305.098,4.0,1,logistic,1,500,all,False,False,safe_logistic_start2_every_sample_lambda20,1,safe_stop,54,1,58.25,every_sample,outer_aggregate,inner_oof,,2,51.51332424064612,3340,2152549,63
