accuracy,both_correct,both_wrong,calibration,feature_group,hyperparameters,inner_loss,lambda_miss,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,policy_id,policy_only_correct,policy_type,premature_stopping_errors,regressions_avoided,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,token_reduction_vs_n16_pct,total_samples,total_tokens,unnecessary_continuations
0.78,75,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.28133767430949497,2,2.87,1922.15,2.0,2,logistic,2,100,1,safe_logistic_start2_every_sample_lambda2,3,safe_stop,21,3,82.0625,every_sample,outer_fold,inner_oof,0.4,2,79.26239439157355,287,192215,1
0.8,77,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.40374132331446966,5,3.47,2396.39,2.0,0,logistic,0,100,1,safe_logistic_start2_every_sample_lambda5,3,safe_stop,19,3,78.3125,every_sample,outer_fold,inner_oof,0.15,2,74.14593517468613,347,239639,1
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.4915677363665506,10,5.68,3977.43,3.0,0,logistic,0,100,1,safe_logistic_start2_every_sample_lambda10,1,safe_stop,13,1,64.5,every_sample,outer_fold,inner_oof,0.03,2,57.0884818171716,568,397743,9
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.5473221062389005,20,5.82,4065.29,3.0,0,logistic,0,100,1,safe_logistic_start2_every_sample_lambda20,1,safe_stop,13,1,63.625,every_sample,outer_fold,inner_oof,0.02,2,56.14058179440733,582,406529,9
0.78,75,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.2980709872589161,2,3.14,2138.84,2.0,2,logistic,2,100,1,safe_logistic_start2_checkpoint_lambda2,3,safe_stop,20,3,80.375,checkpoint,outer_fold,inner_oof,0.5,2,76.92457904974803,314,213884,3
0.79,77,21,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.41968902292165233,5,4.08,2912.8,2.0,0,logistic,0,100,1,safe_logistic_start2_checkpoint_lambda5,2,safe_stop,14,2,74.5,checkpoint,outer_fold,inner_oof,0.15,2,68.57451415538613,408,291280,8
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.5214706081637,10,4.98,3633.43,2.0,0,logistic,0,100,1,safe_logistic_start2_checkpoint_lambda10,1,safe_stop,13,1,68.875,checkpoint,outer_fold,inner_oof,0.075,2,60.79981357031193,498,363343,12
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.5863966709313455,20,7.36,5048.71,4.0,0,logistic,0,100,1,safe_logistic_start2_checkpoint_lambda20,0,safe_stop,9,0,54.0,checkpoint,outer_fold,inner_oof,0.03,2,45.53070425756643,736,504871,21
0.78,75,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.36561362692999494,2,4.4,2694.93,4.0,2,logistic,2,100,1,safe_logistic_start4_every_sample_lambda2,3,safe_stop,21,3,72.5,every_sample,outer_fold,inner_oof,0.4,4,70.92506022822532,440,269493,1
0.79,77,21,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.4619478123450211,5,5.42,3513.71,4.0,0,logistic,0,100,1,safe_logistic_start4_every_sample_lambda5,2,safe_stop,20,2,66.125,every_sample,outer_fold,inner_oof,0.075,4,62.09144333044554,542,351371,2
0.78,77,22,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.502474552849278,10,5.98,3978.81,4.0,0,logistic,0,100,1,safe_logistic_start4_every_sample_lambda10,1,safe_stop,19,1,62.625,every_sample,outer_fold,inner_oof,0.05,4,57.07359333513865,598,397881,5
0.77,77,23,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.5570961351988599,20,6.38,4305.42,4.0,0,logistic,0,100,1,safe_logistic_start4_every_sample_lambda20,0,safe_stop,14,0,60.12500000000001,every_sample,outer_fold,inner_oof,0.03,4,53.54987803312363,638,430542,9
0.78,75,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.3774324213525466,2,4.68,2930.72,4.0,2,logistic,2,100,1,safe_logistic_start4_checkpoint_lambda2,3,safe_stop,20,3,70.75,checkpoint,outer_fold,inner_oof,0.4,4,68.38117966405974,468,293072,3
0.78,75,20,uncalibrated,G_original_plus_trajectory,C=1.0;class_weight=None,0.47493242135254665,5,4.68,2930.72,4.0,2,logistic,2,100,1,safe_logistic_start4_checkpoint_lambda5,3,safe_stop,20,3,70.75,checkpoint,outer_fold,inner_oof,0.4,4,68.38117966405974,468,293072,3
