fraction,outer_fold,policy_id,questions_stopped,scope,stop_budget
0.0,all,safe_logistic_start2_every_sample_lambda10,0,outer_aggregate,1
0.442,all,safe_logistic_start2_every_sample_lambda10,221,outer_aggregate,2
0.25,all,safe_logistic_start2_every_sample_lambda10,125,outer_aggregate,3
0.02,all,safe_logistic_start2_every_sample_lambda10,10,outer_aggregate,4
0.03,all,safe_logistic_start2_every_sample_lambda10,15,outer_aggregate,5
0.014,all,safe_logistic_start2_every_sample_lambda10,7,outer_aggregate,6
0.028,all,safe_logistic_start2_every_sample_lambda10,14,outer_aggregate,7
0.016,all,safe_logistic_start2_every_sample_lambda10,8,outer_aggregate,8
0.028,all,safe_logistic_start2_every_sample_lambda10,14,outer_aggregate,9
0.01,all,safe_logistic_start2_every_sample_lambda10,5,outer_aggregate,10
0.02,all,safe_logistic_start2_every_sample_lambda10,10,outer_aggregate,11
0.016,all,safe_logistic_start2_every_sample_lambda10,8,outer_aggregate,12
0.02,all,safe_logistic_start2_every_sample_lambda10,10,outer_aggregate,13
0.012,all,safe_logistic_start2_every_sample_lambda10,6,outer_aggregate,14
0.016,all,safe_logistic_start2_every_sample_lambda10,8,outer_aggregate,15
0.078,all,safe_logistic_start2_every_sample_lambda10,39,outer_aggregate,16
0.0,all,safe_histgb_start2_every_sample_lambda10,0,outer_aggregate,1
0.412,all,safe_histgb_start2_every_sample_lambda10,206,outer_aggregate,2
0.182,all,safe_histgb_start2_every_sample_lambda10,91,outer_aggregate,3
0.102,all,safe_histgb_start2_every_sample_lambda10,51,outer_aggregate,4
0.026,all,safe_histgb_start2_every_sample_lambda10,13,outer_aggregate,5
0.03,all,safe_histgb_start2_every_sample_lambda10,15,outer_aggregate,6
0.032,all,safe_histgb_start2_every_sample_lambda10,16,outer_aggregate,7
0.026,all,safe_histgb_start2_every_sample_lambda10,13,outer_aggregate,8
0.02,all,safe_histgb_start2_every_sample_lambda10,10,outer_aggregate,9
0.018,all,safe_histgb_start2_every_sample_lambda10,9,outer_aggregate,10
0.026,all,safe_histgb_start2_every_sample_lambda10,13,outer_aggregate,11
0.016,all,safe_histgb_start2_every_sample_lambda10,8,outer_aggregate,12
0.02,all,safe_histgb_start2_every_sample_lambda10,10,outer_aggregate,13
0.012,all,safe_histgb_start2_every_sample_lambda10,6,outer_aggregate,14
0.004,all,safe_histgb_start2_every_sample_lambda10,2,outer_aggregate,15
0.074,all,safe_histgb_start2_every_sample_lambda10,37,outer_aggregate,16
0.0,all,hybrid_logistic_start2_every_sample_lambda10,0,outer_aggregate,1
0.592,all,hybrid_logistic_start2_every_sample_lambda10,296,outer_aggregate,2
0.14,all,hybrid_logistic_start2_every_sample_lambda10,70,outer_aggregate,3
0.062,all,hybrid_logistic_start2_every_sample_lambda10,31,outer_aggregate,4
0.01,all,hybrid_logistic_start2_every_sample_lambda10,5,outer_aggregate,5
0.012,all,hybrid_logistic_start2_every_sample_lambda10,6,outer_aggregate,6
0.01,all,hybrid_logistic_start2_every_sample_lambda10,5,outer_aggregate,7
0.004,all,hybrid_logistic_start2_every_sample_lambda10,2,outer_aggregate,8
0.002,all,hybrid_logistic_start2_every_sample_lambda10,1,outer_aggregate,9
0.012,all,hybrid_logistic_start2_every_sample_lambda10,6,outer_aggregate,10
0.002,all,hybrid_logistic_start2_every_sample_lambda10,1,outer_aggregate,11
0.0,all,hybrid_logistic_start2_every_sample_lambda10,0,outer_aggregate,12
0.0,all,hybrid_logistic_start2_every_sample_lambda10,0,outer_aggregate,13
0.01,all,hybrid_logistic_start2_every_sample_lambda10,5,outer_aggregate,14
0.002,all,hybrid_logistic_start2_every_sample_lambda10,1,outer_aggregate,15
