stopping_sample,count,fraction,conditional_accuracy,mean_output_tokens,mean_margin,percentage,correct_count,total_output_tokens,invalid_extractions,tie_count
2,400,0.8,0.8575,1051.73,1.0,80.0,343,420692,46,0
3,8,0.016,0.375,2919.5,1.0,1.6,3,23356,16,0
4,29,0.058,0.6551724137931034,2402.689655172414,0.5344827586206896,5.800000000000001,19,69678,6,0
5,1,0.002,0.0,3609.0,0.5,0.2,0,3609,1,0
6,6,0.012,0.6666666666666666,3185.5,0.5833333333333334,1.2,4,19113,5,0
7,0,0.0,,,,0.0,0,0,0,0
8,1,0.002,1.0,7611.0,0.5,0.2,1,7611,4,0
9,0,0.0,,,,0.0,0,0,0,0
10,0,0.0,,,,0.0,0,0,0,0
11,0,0.0,,,,0.0,0,0,0,0
12,1,0.002,1.0,9532.0,0.5,0.2,1,9532,2,0
13,0,0.0,,,,0.0,0,0,0,0
14,2,0.004,0.0,10275.5,0.75,0.4,0,20551,13,0
15,0,0.0,,,,0.0,0,0,0,0
16,52,0.104,0.3076923076923077,11539.01923076923,0.17115973595565434,10.4,16,600029,141,8
