accuracy,accuracy_difference_vs_fixed_n16_pp,compute_reduction_vs_fixed_n16_pct,early_stop_errors,evaluation_scope,family,mean_output_tokens_per_question,mean_samples_per_question,median_samples_per_question,min_samples,missed_recoveries,n_questions,paired_both_correct,paired_both_wrong,paired_n16_only_correct,paired_policy_only_correct,parameter,pareto_dominated_full_exploratory,policy_id,selection,total_output_tokens,total_samples_used,value
0.72,-6.800000000000001,93.7318122791823,140,full_exploratory,fixed,556.548,1.0,1.0,1,42,500,352,98,42,8,N,False,fixed_n1,predefined_grid_no_tuning,278274,500,1
0.73,-5.800000000000001,87.36500907203907,135,full_exploratory,fixed,1121.852,2.0,2.0,2,39,500,355,96,39,10,N,False,fixed_n2,predefined_grid_no_tuning,560926,1000,2
0.748,-4.0,74.92616790536697,126,full_exploratory,fixed,2226.288,4.0,4.0,4,30,500,364,96,30,10,N,True,fixed_n4,predefined_grid_no_tuning,1113144,2000,4
0.784,-0.4,50.1475740883192,108,full_exploratory,fixed,4426.362,8.0,8.0,8,13,500,381,95,13,11,N,True,fixed_n8,predefined_grid_no_tuning,2213181,4000,8
0.788,0.0,0.0,0,full_exploratory,fixed,8878.93,16.0,16.0,16,0,500,394,106,0,0,N,True,fixed_n16,predefined_grid_no_tuning,4439465,8000,16
0.776,-1.2,76.29428320754866,88,full_exploratory,consensus,2104.814,3.35,2.0,2,15,500,379,97,15,9,consensus_threshold,False,consensus_min2_0.60,predefined_grid_no_tuning,1052407,1675,0.6
0.784,-0.4,70.42826106298845,72,full_exploratory,consensus,2625.654,4.122,2.0,2,11,500,383,97,11,9,consensus_threshold,True,consensus_min2_0.70,predefined_grid_no_tuning,1312827,2061,0.7
0.78,-0.8,67.77100393853763,68,full_exploratory,consensus,2861.59,4.496,2.0,2,10,500,384,100,10,6,consensus_threshold,True,consensus_min2_0.80,predefined_grid_no_tuning,1430795,2248,0.8
0.782,-0.6,65.86624739692732,62,full_exploratory,consensus,3030.712,4.802,2.0,2,9,500,385,100,9,6,consensus_threshold,True,consensus_min2_0.90,predefined_grid_no_tuning,1515356,2401,0.9
0.782,-0.6,65.3430086733424,62,full_exploratory,consensus,3077.17,4.884,2.0,2,9,500,385,100,9,6,consensus_threshold,True,consensus_min2_1.00,predefined_grid_no_tuning,1538585,2442,1.0
0.786,-0.2,61.82476942604571,69,full_exploratory,consensus,3389.552,5.594,4.0,4,9,500,385,98,9,8,consensus_threshold,False,consensus_min4_0.60,predefined_grid_no_tuning,1694776,2797,0.6
0.79,0.2,56.85910351810411,55,full_exploratory,consensus,3830.45,6.22,4.0,4,4,500,390,101,4,5,consensus_threshold,True,consensus_min4_0.70,predefined_grid_no_tuning,1915225,3110,0.7
0.786,-0.2,51.98450714218943,44,full_exploratory,consensus,4263.262,6.91,4.0,4,2,500,392,105,2,1,consensus_threshold,True,consensus_min4_0.80,predefined_grid_no_tuning,2131631,3455,0.8
0.788,0.0,48.00821720635257,34,full_exploratory,consensus,4616.314,7.504,4.0,4,1,500,393,105,1,1,consensus_threshold,True,consensus_min4_0.90,predefined_grid_no_tuning,2308157,3752,0.9
0.788,0.0,47.029405570265794,34,full_exploratory,consensus,4703.222,7.658,4.0,4,1,500,393,105,1,1,consensus_threshold,True,consensus_min4_1.00,predefined_grid_no_tuning,2351611,3829,1.0
0.782,-0.6,65.3430086733424,62,full_exploratory,entropy,3077.17,4.884,2.0,2,9,500,385,100,9,6,entropy_threshold,True,entropy_min2_0.00,predefined_grid_no_tuning,1538585,2442,0
0.782,-0.6,65.38823934866025,62,full_exploratory,entropy,3073.154,4.876,2.0,2,9,500,385,100,9,6,entropy_threshold,True,entropy_min2_0.25,predefined_grid_no_tuning,1536577,2438,0.25
0.782,-0.6,67.14457710557467,66,full_exploratory,entropy,2917.21,4.584,2.0,2,9,500,385,100,9,6,entropy_threshold,True,entropy_min2_0.50,predefined_grid_no_tuning,1458605,2292,0.5
0.74,-4.8,84.83673145300166,126,full_exploratory,entropy,1346.336,2.224,2.0,2,35,500,359,95,35,11,entropy_threshold,False,entropy_min2_0.75,predefined_grid_no_tuning,673168,1112,0.75
0.74,-4.8,84.83673145300166,126,full_exploratory,entropy,1346.336,2.224,2.0,2,35,500,359,95,35,11,entropy_threshold,False,entropy_min2_1.00,predefined_grid_no_tuning,673168,1112,1.0
0.788,0.0,47.029405570265794,34,full_exploratory,entropy,4703.222,7.658,4.0,4,1,500,393,105,1,1,entropy_threshold,True,entropy_min4_0.00,predefined_grid_no_tuning,2351611,3829,0
0.788,0.0,47.13723387840651,34,full_exploratory,entropy,4693.648,7.64,4.0,4,1,500,393,105,1,1,entropy_threshold,True,entropy_min4_0.25,predefined_grid_no_tuning,2346824,3820,0.25
0.788,0.0,50.252203812846815,41,full_exploratory,entropy,4417.072,7.14,4.0,4,1,500,393,105,1,1,entropy_threshold,True,entropy_min4_0.50,predefined_grid_no_tuning,2208536,3570,0.5
0.782,-0.6,61.80217661362348,71,full_exploratory,entropy,3391.558,5.632,4.0,4,10,500,384,99,10,7,entropy_threshold,True,entropy_min4_0.75,predefined_grid_no_tuning,1695779,2816,0.75
0.774,-1.4000000000000001,64.57487557622372,82,full_exploratory,entropy,3145.372,5.272,4.0,4,14,500,380,99,14,7,entropy_threshold,True,entropy_min4_1.00,predefined_grid_no_tuning,1572686,2636,1.0
0.77,-1.7999999999999998,79.66135559127056,101,full_exploratory,margin,1805.854,2.918,2.0,2,19,500,375,96,19,10,margin_threshold,False,margin_min2_0.25,predefined_grid_no_tuning,902927,1459,0.25
0.784,-0.4,71.15517297692402,73,full_exploratory,margin,2561.112,4.038,2.0,2,11,500,383,97,11,9,margin_threshold,False,margin_min2_0.50,predefined_grid_no_tuning,1280556,2019,0.5
0.782,-0.6,66.37135330495904,63,full_exploratory,margin,2985.864,4.728,2.0,2,9,500,385,100,9,6,margin_threshold,True,margin_min2_0.75,predefined_grid_no_tuning,1492932,2364,0.75
0.782,-0.6,65.3430086733424,62,full_exploratory,margin,3077.17,4.884,2.0,2,9,500,385,100,9,6,margin_threshold,True,margin_min2_1.00,predefined_grid_no_tuning,1538585,2442,1.0
0.774,-1.4000000000000001,68.10230512009893,96,full_exploratory,margin,2832.174,4.822,4.0,4,15,500,379,98,15,8,margin_threshold,True,margin_min4_0.25,predefined_grid_no_tuning,1416087,2411,0.25
0.79,0.2,57.62852055371537,57,full_exploratory,margin,3762.134,6.12,4.0,4,4,500,390,101,4,5,margin_threshold,False,margin_min4_0.50,predefined_grid_no_tuning,1881067,3060,0.5
0.788,0.0,48.87654255636659,36,full_exploratory,margin,4539.216,7.374,4.0,4,1,500,393,105,1,1,margin_threshold,True,margin_min4_0.75,predefined_grid_no_tuning,2269608,3687,0.75
0.788,0.0,47.029405570265794,34,full_exploratory,margin,4703.222,7.658,4.0,4,1,500,393,105,1,1,margin_threshold,True,margin_min4_1.00,predefined_grid_no_tuning,2351611,3829,1.0
0.74,-4.8,84.22339178256838,126,full_exploratory,stability,1400.794,2.284,2.0,1,35,500,359,95,35,11,consecutive_prefixes,True,stability_k2,predefined_grid_no_tuning,700397,1142,2
0.756,-3.2,77.47976389046877,118,full_exploratory,stability,1999.556,3.356,3.0,1,28,500,366,94,28,12,consecutive_prefixes,True,stability_k3,predefined_grid_no_tuning,999778,1678,3
0.764,-2.4,70.04535456411978,113,full_exploratory,stability,2659.652,4.508,4.0,1,22,500,372,96,22,10,consecutive_prefixes,True,stability_k4,predefined_grid_no_tuning,1329826,2254,4
0.774,-1.4000000000000001,62.631600879835744,107,full_exploratory,stability,3317.914,5.69,5.0,1,18,500,376,95,18,11,consecutive_prefixes,True,stability_k5,predefined_grid_no_tuning,1658957,2845,5
0.72,-3.0,73.6577698329532,21,held_out_test,consensus,2307.69,3.73,2.0,2,5,100,70,23,5,2,consensus_threshold,,holdout_consensus_min2_0.60,selected_on_dev_accuracy_within_1pp_then_min_samples,230769,373,0.6
0.71,-4.0,64.48823229936464,17,held_out_test,entropy,3110.98,4.99,2.0,2,4,100,71,25,4,0,entropy_threshold,,holdout_entropy_min2_0.50,selected_on_dev_accuracy_within_1pp_then_min_samples,311098,499,0.5
0.72,-3.0,68.83037571258,20,held_out_test,margin,2730.59,4.34,2.0,2,5,100,70,23,5,2,margin_threshold,,holdout_margin_min2_0.50,selected_on_dev_accuracy_within_1pp_then_min_samples,273059,434,0.5
0.71,-4.0,62.49780261676952,28,held_out_test,stability,3285.35,5.65,5.0,1,6,100,69,23,6,2,consecutive_prefixes,,holdout_stability_k5,selected_on_dev_accuracy_within_1pp_then_min_samples,328535,565,5
