analysis_type,features,mean,median,metric,n,outcome,prefix,signal,test_questions,train_questions,value
signal_summary,,1.0,1.0,,32,improves,1,consensus,,,
signal_summary,,0.0,0.0,,32,improves,1,answer_entropy,,,
signal_summary,,1.0,1.0,,32,improves,1,vote_margin,,,
signal_summary,,1.0,1.0,,32,improves,1,answer_stability,,,
signal_summary,,1.0,1.0,,426,no_correctness_change,1,consensus,,,
signal_summary,,0.0,0.0,,426,no_correctness_change,1,answer_entropy,,,
signal_summary,,1.0,1.0,,426,no_correctness_change,1,vote_margin,,,
signal_summary,,1.0,1.0,,426,no_correctness_change,1,answer_stability,,,
signal_summary,,1.0,1.0,,8,regression,1,consensus,,,
signal_summary,,0.0,0.0,,8,regression,1,answer_entropy,,,
signal_summary,,1.0,1.0,,8,regression,1,vote_margin,,,
signal_summary,,1.0,1.0,,8,regression,1,answer_stability,,,
signal_summary,,0.6176470588235294,0.5,,34,improves,2,consensus,,,
signal_summary,,0.5300537263105463,0.6931471805599453,,34,improves,2,answer_entropy,,,
signal_summary,,0.23529411764705882,0.0,,34,improves,2,vote_margin,,,
signal_summary,,1.9411764705882353,2.0,,34,improves,2,answer_stability,,,
signal_summary,,0.9267734553775744,1.0,,437,no_correctness_change,2,consensus,,,
signal_summary,,0.10151354589436269,0.0,,437,no_correctness_change,2,answer_entropy,,,
signal_summary,,0.8535469107551488,1.0,,437,no_correctness_change,2,vote_margin,,,
signal_summary,,1.9748283752860412,2.0,,437,no_correctness_change,2,answer_stability,,,
signal_summary,,0.75,0.75,,10,regression,2,consensus,,,
signal_summary,,0.34657359027997264,0.34657359027997264,,10,regression,2,answer_entropy,,,
signal_summary,,0.5,0.5,,10,regression,2,vote_margin,,,
signal_summary,,1.8,2.0,,10,regression,2,answer_stability,,,
signal_summary,,0.5185185185185185,0.5,,27,improves,3,consensus,,,
signal_summary,,0.7902122816691624,0.6931471805599453,,27,improves,3,answer_entropy,,,
signal_summary,,0.1728395061728395,0.0,,27,improves,3,vote_margin,,,
signal_summary,,2.7777777777777777,3.0,,27,improves,3,answer_stability,,,
signal_summary,,0.9110612855007474,1.0,,446,no_correctness_change,3,consensus,,,
signal_summary,,0.15536276290131532,0.0,,446,no_correctness_change,3,answer_entropy,,,
signal_summary,,0.8385650224215246,1.0,,446,no_correctness_change,3,vote_margin,,,
signal_summary,,2.908071748878924,3.0,,446,no_correctness_change,3,answer_stability,,,
signal_summary,,0.6212121212121212,0.6666666666666666,,11,regression,3,consensus,,,
signal_summary,,0.6519595352762125,0.6365141682948128,,11,regression,3,answer_entropy,,,
signal_summary,,0.33333333333333337,0.3333333333333333,,11,regression,3,vote_margin,,,
signal_summary,,2.6363636363636362,3.0,,11,regression,3,answer_stability,,,
signal_summary,,0.4876543209876543,0.5,,27,improves,4,consensus,,,
signal_summary,,0.9318721505680825,1.0397207708399179,,27,improves,4,answer_entropy,,,
signal_summary,,0.18209876543209874,0.25,,27,improves,4,vote_margin,,,
signal_summary,,3.111111111111111,4.0,,27,improves,4,answer_stability,,,
signal_summary,,0.896570796460177,1.0,,452,no_correctness_change,4,consensus,,,
signal_summary,,0.19940299209987317,0.0,,452,no_correctness_change,4,answer_entropy,,,
signal_summary,,0.8248525073746312,1.0,,452,no_correctness_change,4,vote_margin,,,
signal_summary,,3.814159292035398,4.0,,452,no_correctness_change,4,answer_stability,,,
signal_summary,,0.65,0.7083333333333333,,10,regression,4,consensus,,,
signal_summary,,0.6757055757677936,0.5994246564568105,,10,regression,4,answer_entropy,,,
signal_summary,,0.38333333333333336,0.41666666666666663,,10,regression,4,vote_margin,,,
