evaluation_scope,policy_id,questions_stopped,stop_budget
full_exploratory,fixed_n1,500,1
full_exploratory,fixed_n1,0,2
full_exploratory,fixed_n1,0,3
full_exploratory,fixed_n1,0,4
full_exploratory,fixed_n1,0,5
full_exploratory,fixed_n1,0,6
full_exploratory,fixed_n1,0,7
full_exploratory,fixed_n1,0,8
full_exploratory,fixed_n1,0,9
full_exploratory,fixed_n1,0,10
full_exploratory,fixed_n1,0,11
full_exploratory,fixed_n1,0,12
full_exploratory,fixed_n1,0,13
full_exploratory,fixed_n1,0,14
full_exploratory,fixed_n1,0,15
full_exploratory,fixed_n1,0,16
full_exploratory,fixed_n2,0,1
full_exploratory,fixed_n2,500,2
full_exploratory,fixed_n2,0,3
full_exploratory,fixed_n2,0,4
full_exploratory,fixed_n2,0,5
full_exploratory,fixed_n2,0,6
full_exploratory,fixed_n2,0,7
full_exploratory,fixed_n2,0,8
full_exploratory,fixed_n2,0,9
full_exploratory,fixed_n2,0,10
full_exploratory,fixed_n2,0,11
full_exploratory,fixed_n2,0,12
full_exploratory,fixed_n2,0,13
full_exploratory,fixed_n2,0,14
full_exploratory,fixed_n2,0,15
full_exploratory,fixed_n2,0,16
full_exploratory,fixed_n4,0,1
full_exploratory,fixed_n4,0,2
full_exploratory,fixed_n4,0,3
full_exploratory,fixed_n4,500,4
full_exploratory,fixed_n4,0,5
full_exploratory,fixed_n4,0,6
full_exploratory,fixed_n4,0,7
full_exploratory,fixed_n4,0,8
full_exploratory,fixed_n4,0,9
full_exploratory,fixed_n4,0,10
full_exploratory,fixed_n4,0,11
full_exploratory,fixed_n4,0,12
full_exploratory,fixed_n4,0,13
full_exploratory,fixed_n4,0,14
full_exploratory,fixed_n4,0,15
full_exploratory,fixed_n4,0,16
full_exploratory,fixed_n8,0,1
full_exploratory,fixed_n8,0,2
full_exploratory,fixed_n8,0,3
full_exploratory,fixed_n8,0,4
full_exploratory,fixed_n8,0,5
full_exploratory,fixed_n8,0,6
full_exploratory,fixed_n8,0,7
full_exploratory,fixed_n8,500,8
full_exploratory,fixed_n8,0,9
full_exploratory,fixed_n8,0,10
full_exploratory,fixed_n8,0,11
full_exploratory,fixed_n8,0,12
full_exploratory,fixed_n8,0,13
full_exploratory,fixed_n8,0,14
full_exploratory,fixed_n8,0,15
full_exploratory,fixed_n8,0,16
full_exploratory,fixed_n16,0,1
full_exploratory,fixed_n16,0,2
full_exploratory,fixed_n16,0,3
full_exploratory,fixed_n16,0,4
full_exploratory,fixed_n16,0,5
full_exploratory,fixed_n16,0,6
full_exploratory,fixed_n16,0,7
full_exploratory,fixed_n16,0,8
full_exploratory,fixed_n16,0,9
full_exploratory,fixed_n16,0,10
full_exploratory,fixed_n16,0,11
full_exploratory,fixed_n16,0,12
full_exploratory,fixed_n16,0,13
full_exploratory,fixed_n16,0,14
full_exploratory,fixed_n16,0,15
full_exploratory,fixed_n16,500,16
full_exploratory,consensus_min2_0.60,0,1
full_exploratory,consensus_min2_0.60,386,2
full_exploratory,consensus_min2_0.60,54,3
full_exploratory,consensus_min2_0.60,6,4
full_exploratory,consensus_min2_0.60,4,5
full_exploratory,consensus_min2_0.60,2,6
full_exploratory,consensus_min2_0.60,3,7
full_exploratory,consensus_min2_0.60,2,8
full_exploratory,consensus_min2_0.60,1,9
full_exploratory,consensus_min2_0.60,5,10
full_exploratory,consensus_min2_0.60,0,11
full_exploratory,consensus_min2_0.60,0,12
full_exploratory,consensus_min2_0.60,0,13
full_exploratory,consensus_min2_0.60,1,14
full_exploratory,consensus_min2_0.60,1,15
full_exploratory,consensus_min2_0.60,35,16
full_exploratory,consensus_min2_0.70,0,1
full_exploratory,consensus_min2_0.70,386,2
full_exploratory,consensus_min2_0.70,3,3
full_exploratory,consensus_min2_0.70,35,4
full_exploratory,consensus_min2_0.70,1,5
full_exploratory,consensus_min2_0.70,2,6
full_exploratory,consensus_min2_0.70,2,7
full_exploratory,consensus_min2_0.70,0,8
full_exploratory,consensus_min2_0.70,1,9
full_exploratory,consensus_min2_0.70,3,10
full_exploratory,consensus_min2_0.70,0,11
full_exploratory,consensus_min2_0.70,0,12
full_exploratory,consensus_min2_0.70,0,13
full_exploratory,consensus_min2_0.70,1,14
full_exploratory,consensus_min2_0.70,0,15
full_exploratory,consensus_min2_0.70,66,16
full_exploratory,consensus_min2_0.80,0,1
full_exploratory,consensus_min2_0.80,386,2
full_exploratory,consensus_min2_0.80,3,3
full_exploratory,consensus_min2_0.80,5,4
full_exploratory,consensus_min2_0.80,18,5
full_exploratory,consensus_min2_0.80,2,6
full_exploratory,consensus_min2_0.80,1,7
full_exploratory,consensus_min2_0.80,0,8
full_exploratory,consensus_min2_0.80,1,9
full_exploratory,consensus_min2_0.80,2,10
full_exploratory,consensus_min2_0.80,0,11
full_exploratory,consensus_min2_0.80,0,12
full_exploratory,consensus_min2_0.80,0,13
full_exploratory,consensus_min2_0.80,1,14
full_exploratory,consensus_min2_0.80,1,15
full_exploratory,consensus_min2_0.80,80,16
full_exploratory,consensus_min2_0.90,0,1
full_exploratory,consensus_min2_0.90,386,2
full_exploratory,consensus_min2_0.90,3,3
full_exploratory,consensus_min2_0.90,5,4
full_exploratory,consensus_min2_0.90,1,5
full_exploratory,consensus_min2_0.90,2,6
full_exploratory,consensus_min2_0.90,1,7
full_exploratory,consensus_min2_0.90,0,8
full_exploratory,consensus_min2_0.90,1,9
full_exploratory,consensus_min2_0.90,7,10
full_exploratory,consensus_min2_0.90,1,11
full_exploratory,consensus_min2_0.90,0,12
full_exploratory,consensus_min2_0.90,0,13
full_exploratory,consensus_min2_0.90,1,14
full_exploratory,consensus_min2_0.90,0,15
full_exploratory,consensus_min2_0.90,92,16
full_exploratory,consensus_min2_1.00,0,1
full_exploratory,consensus_min2_1.00,386,2
full_exploratory,consensus_min2_1.00,3,3
full_exploratory,consensus_min2_1.00,5,4
full_exploratory,consensus_min2_1.00,1,5
